Unnamed: 0,strain [1],stress [MPa],D
0,0.0,0.0,0.0
1,0.001,12.79871933053066,0.334
2,0.002,25.59743866106136,0.668
3,0.003,38.3961579915921,1.002
4,0.004,51.19487732212269,1.336
5,0.005,63.9935966526533,1.67
6,0.006,76.79231598318418,2.004
7,0.007,89.59094860543311,2.338
8,0.008,102.3890364648336,2.672
9,0.009,115.1845787263007,3.005
10,0.01,127.977253266937,3.339
11,0.011,140.7632223586488,3.673
12,0.012,153.5466094920023,4.006
13,0.013,166.3211085370223,4.34
14,0.014,179.0818201489035,4.673
15,0.015,191.8110462450414,5.005
16,0.016,204.5023571775862,5.336
17,0.017,217.1436386808824,5.666
18,0.018,229.7387280340015,5.994
19,0.019,242.2436516301429,6.321
20,0.02,254.6061027557052,6.643
21,0.021,266.7910676099619,6.961
22,0.022,278.7682165678386,7.274
23,0.023,290.5167310918373,7.58
24,0.024,301.96660657734,7.879
25,0.025,313.1876563604811,8.172
26,0.026,324.1696963275388,8.458
27,0.027,334.8958401068469,8.738
28,0.028,345.345604459145,9.011
29,0.029,355.5082489950193,9.276
30,0.03,365.3876690648795,9.534
